StudentId,DiasSemUso,TotalSessoes,TotalGasto
31804616,70,8,0.00
25378960,8,11,0.00
70579031,188,3,0.00
45455293,4,25,0.00
61850804,210,2,0.00
86006160,35,28,0.00
82351115,9,78,0.00
21935075,171,3,0.00
79206422,22,6,0.00
19331915,168,2,0.00
53266078,209,1,0.00
25523597,24,5,0.00
93680844,191,7,0.00
67371822,211,1,0.00
80607057,204,1,0.00
33039366,49,2,0.00
39981208,0,6,29.90
23157113,199,1,0.00
82853023,78,7,0.00
83363467,2,34,0.00
43778019,33,33,0.00
11043341,195,1,0.00
13031214,1,37,0.00
42392721,63,2,0.00
97228098,70,6,0.00
27976378,47,3,0.00
30335800,188,3,0.00
30437941,0,47,59.80
82800348,10,2,0.00
839251,184,2,0.00
67079846,206,1,0.00
38524858,6,8,0.00
40492957,112,2,0.00
33138636,3,12,0.00
3211308,7,4,0.00
50311220,183,2,0.00
70154884,196,5,0.00
75162756,208,2,0.00
14418078,204,1,0.00
35807183,211,2,0.00
71933071,0,65,0.00
27841920,182,98,0.00
87109169,181,11,0.00
83637143,9,8,0.00
94349865,3,10,0.00
2827124,2,3,0.00
66782128,60,4,0.00
75232073,182,3,0.00
19999877,192,3,0.00
16495119,191,1,0.00
19307796,189,2,0.00
40434878,191,2,0.00
70265638,8,8,0.00
16791194,7,39,0.00
67407348,197,1,0.00
12538088,199,1,0.00
34865622,17,9,0.00
84250956,0,53,0.00
66188012,206,2,0.00
79064579,172,2,0.00
15702632,176,2,0.00
98005417,1,8,0.00
37424889,13,8,0.00
40390985,192,2,0.00
89691327,193,5,0.00
31991995,210,1,0.00
30210599,198,1,0.00
78303012,180,5,0.00
50961864,71,6,0.00
75219776,2,12,0.00
68941628,15,5,0.00
16425802,183,3,0.00
21217570,56,9,0.00
9587160,8,5,0.00
97026610,4,39,0.00
13057958,1,17,0.00
47075624,6,21,0.00
49298868,75,49,29.90
12653831,9,96,0.00
87435105,0,17,0.00
94745871,28,2,0.00
17261844,178,9,0.00
42510276,176,6,0.00
